"tag","class","text_preview","href","is_valid","type"
"andes-modal","andes-modal--iframe","",""
"div","","20% OFFTeclado Inalámbrico Con Touchpad K400 Plus Logitech Color del teclado Negro Idioma Español$65",""
"div","poly-card__portada","",""
"img","poly-component__picture","","https://http2.mlstatic.com/D_Q_NP_2X_801155-MLA84836778707_052025-V.webp"
"div","poly-card__content","20% OFFTeclado Inalámbrico Con Touchpad K400 Plus Logitech Color del teclado Negro Idioma Español$65",""
"a","poly-component__title","Teclado Inalámbrico Con Touchpad K400 Plus Logitech Color del teclado Negro Idioma Español","https://www.tiendatrade.com.ar/teclado-inalambrico-con-touchpad-k400-plus-logitech-color-del-teclado-negro-idioma-espanol/p/MLA8953444?pdp_filters=seller_id%3A155289488#polycard_client=search-nordic-mshops&search_layout=stack&position=1&type=product&tracking_id=2a0e037a-1691-4192-972a-bfc4a1996265&wid=MLA2114093908&sid=search"
"div","poly-component__price","$65.309$52.24720% OFF",""
"s","andes-money-amount andes-money-amount--previous andes-money-amount--cents-comma","$65.309",""
"span","andes-money-amount__currency-symbol","$",""
"span","andes-money-amount__fraction","65.309",""
"div","poly-price__current","$52.24720% OFF",""
"span","andes-money-amount andes-money-amount--cents-superscript","$52.247",""
"span","andes-money-amount__currency-symbol","$",""
"span","andes-money-amount__fraction","52.247",""
"span","andes-money-amount__discount","20% OFF",""
"div","poly-component__shipping","Envío gratis",""
"div","","20% OFFMouse gamer de juego Logitech GG Series G203 Lightsync negro$55.299$44.23920% OFFDisponible e",""
"div","poly-card__portada","",""
"img","poly-component__picture","","https://http2.mlstatic.com/D_Q_NP_2X_605478-MLU72756924884_112023-V.webp"
"div","poly-card__content","20% OFFMouse gamer de juego Logitech GG Series G203 Lightsync negro$55.299$44.23920% OFFDisponible e",""
"a","poly-component__title","Mouse gamer de juego Logitech GG Series G203 Lightsync negro","https://www.tiendatrade.com.ar/mouse-gamer-de-juego-logitech-gg-series-g203-lightsync-negro/p/MLA16211422?pdp_filters=seller_id%3A155289488#polycard_client=search-nordic-mshops&search_layout=stack&position=2&type=product&tracking_id=2a0e037a-1691-4192-972a-bfc4a1996265&wid=MLA1962692716&sid=search"
"div","poly-content","$55.299$44.23920% OFFDisponible en 4 colores",""
"div","poly-content__column","$55.299$44.23920% OFF",""
"div","poly-component__price","$55.299$44.23920% OFF",""
"s","andes-money-amount andes-money-amount--previous andes-money-amount--cents-comma","$55.299",""
"span","andes-money-amount__currency-symbol","$",""
"span","andes-money-amount__fraction","55.299",""
"div","poly-price__current","$44.23920% OFF",""
"span","andes-money-amount andes-money-amount--cents-superscript","$44.239",""
"span","andes-money-amount__currency-symbol","$",""
"span","andes-money-amount__fraction","44.239",""
"span","andes-money-amount__discount","20% OFF",""
"div","poly-content__column","Disponible en 4 colores",""
"span","poly-component__variations-text","Disponible en 4 colores",""
"div","","20% OFFKit Teclado Y Mouse Logitech Usb Multimedia Pc Escritorio$32.789$26.23120% OFFEnvío gratis",""
"div","poly-card__portada","",""
"img","poly-component__picture lazy-loadable","","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"div","poly-card__content","20% OFFKit Teclado Y Mouse Logitech Usb Multimedia Pc Escritorio$32.789$26.23120% OFFEnvío gratis",""
"a","poly-component__title","Kit Teclado Y Mouse Logitech Usb Multimedia Pc Escritorio","https://www.tiendatrade.com.ar/MLA-631811544-kit-teclado-y-mouse-logitech-usb-multimedia-pc-escritorio-_JM?searchVariation=33369608290&pdp_filters=seller_id%3A155289488#polycard_client=search-nordic-mshops&searchVariation=33369608290&search_layout=stack&position=3&type=item&tracking_id=2a0e037a-1691-4192-972a-bfc4a1996265"
"div","poly-component__price","$32.789$26.23120% OFF",""
"s","andes-money-amount andes-money-amount--previous andes-money-amount--cents-comma","$32.789",""
"span","andes-money-amount__currency-symbol","$",""
"span","andes-money-amount__fraction","32.789",""
"div","poly-price__current","$26.23120% OFF",""
"span","andes-money-amount andes-money-amount--cents-superscript","$26.231",""
"span","andes-money-amount__currency-symbol","$",""
"span","andes-money-amount__fraction","26.231",""
"span","andes-money-amount__discount","20% OFF",""
"div","poly-component__shipping","Envío gratis",""
"div","","20% OFFParlantes Computadora Usb Dvd Tv Mp3 Sonido Pc$25.379$20.30320% OFFEnvío gratis",""
"div","poly-card__portada","",""
"img","poly-component__picture lazy-loadable","","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"div","poly-card__content","20% OFFParlantes Computadora Usb Dvd Tv Mp3 Sonido Pc$25.379$20.30320% OFFEnvío gratis",""
"a","poly-component__title","Parlantes Computadora Usb Dvd Tv Mp3 Sonido Pc","https://www.tiendatrade.com.ar/MLA-626711839-parlantes-computadora-usb-dvd-tv-mp3-sonido-pc-_JM?searchVariation=40575218902&pdp_filters=seller_id%3A155289488#polycard_client=search-nordic-mshops&searchVariation=40575218902&search_layout=stack&position=4&type=item&tracking_id=2a0e037a-1691-4192-972a-bfc4a1996265"
"div","poly-component__price","$25.379$20.30320% OFF",""
"s","andes-money-amount andes-money-amount--previous andes-money-amount--cents-comma","$25.379",""
"span","andes-money-amount__currency-symbol","$",""
"span","andes-money-amount__fraction","25.379",""
"div","poly-price__current","$20.30320% OFF",""
"span","andes-money-amount andes-money-amount--cents-superscript","$20.303",""
"span","andes-money-amount__currency-symbol","$",""
"span","andes-money-amount__fraction","20.303",""
"span","andes-money-amount__discount","20% OFF",""
"div","poly-component__shipping","Envío gratis",""
"div","","20% OFFMouse Gamer Usb Con Botones Rgb Ergonomico$48.889$39.11120% OFFEnvío gratis",""
"div","poly-card__portada","",""
"img","poly-component__picture lazy-loadable","","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"div","poly-card__content","20% OFFMouse Gamer Usb Con Botones Rgb Ergonomico$48.889$39.11120% OFFEnvío gratis",""
"a","poly-component__title","Mouse Gamer Usb Con Botones Rgb Ergonomico","https://www.tiendatrade.com.ar/MLA-676926416-mouse-gamer-usb-con-botones-rgb-ergonomico-_JM?searchVariation=38585923703&pdp_filters=seller_id%3A155289488#polycard_client=search-nordic-mshops&searchVariation=38585923703&search_layout=stack&position=5&type=item&tracking_id=2a0e037a-1691-4192-972a-bfc4a1996265"
"div","poly-component__price","$48.889$39.11120% OFF",""
"s","andes-money-amount andes-money-amount--previous andes-money-amount--cents-comma","$48.889",""
"span","andes-money-amount__currency-symbol","$",""
"span","andes-money-amount__fraction","48.889",""
"div","poly-price__current","$39.11120% OFF",""
"span","andes-money-amount andes-money-amount--cents-superscript","$39.111",""
"span","andes-money-amount__currency-symbol","$",""
"span","andes-money-amount__fraction","39.111",""
"span","andes-money-amount__discount","20% OFF",""
"div","poly-component__shipping","Envío gratis",""
"div","","20% OFFCombo Teclado Mouse 4 En 1 Redragon S147 Rgb Auricular Pad$120.819$96.65520% OFF6 cuotas de $",""
"div","poly-card__portada","",""
"img","poly-component__picture lazy-loadable","","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"div","poly-card__content","20% OFFCombo Teclado Mouse 4 En 1 Redragon S147 Rgb Auricular Pad$120.819$96.65520% OFF6 cuotas de $",""
"a","poly-component__title","Combo Teclado Mouse 4 En 1 Redragon S147 Rgb Auricular Pad","https://www.tiendatrade.com.ar/MLA-2206093560-combo-teclado-mouse-4-en-1-redragon-s147-rgb-auricular-pad-_JM?searchVariation=184444813618&pdp_filters=seller_id%3A155289488#polycard_client=search-nordic-mshops&searchVariation=184444813618&search_layout=stack&position=6&type=item&tracking_id=2a0e037a-1691-4192-972a-bfc4a1996265"
"div","poly-component__price","$120.819$96.65520% OFF6 cuotas de $24.487",""
"s","andes-money-amount andes-money-amount--previous andes-money-amount--cents-comma","$120.819",""
"span","andes-money-amount__currency-symbol","$",""
"span","andes-money-amount__fraction","120.819",""
"div","poly-price__current","$96.65520% OFF",""
"span","andes-money-amount andes-money-amount--cents-superscript","$96.655",""
"span","andes-money-amount__currency-symbol","$",""
"span","andes-money-amount__fraction","96.655",""
"span","andes-money-amount__discount","20% OFF",""
"span","poly-price__installments","6 cuotas de $24.487",""
"span","andes-money-amount poly-phrase-price andes-money-amount--cents-comma","$24.487",""
"span","andes-money-amount__currency-symbol","$",""
"span","andes-money-amount__fraction","24.487",""
"div","poly-component__shipping","Envío gratis",""
"div","","20% OFFMouse Inalambrico Logitech Notebook Pc Usb Calidad$19.809$15.84720% OFFEnvío gratis",""
"div","poly-card__portada","",""
"img","poly-component__picture lazy-loadable","","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"div","poly-card__content","20% OFFMouse Inalambrico Logitech Notebook Pc Usb Calidad$19.809$15.84720% OFFEnvío gratis",""
"a","poly-component__title","Mouse Inalambrico Logitech Notebook Pc Usb Calidad","https://www.tiendatrade.com.ar/MLA-668260402-mouse-inalambrico-logitech-notebook-pc-usb-calidad-_JM?searchVariation=91511606419&pdp_filters=seller_id%3A155289488#polycard_client=search-nordic-mshops&searchVariation=91511606419&search_layout=stack&position=7&type=item&tracking_id=2a0e037a-1691-4192-972a-bfc4a1996265"
"div","poly-component__price","$19.809$15.84720% OFF",""
"s","andes-money-amount andes-money-amount--previous andes-money-amount--cents-comma","$19.809",""
"span","andes-money-amount__currency-symbol","$",""
"span","andes-money-amount__fraction","19.809",""
"div","poly-price__current","$15.84720% OFF",""
"span","andes-money-amount andes-money-amount--cents-superscript","$15.847",""
"span","andes-money-amount__currency-symbol","$",""
"span","andes-money-amount__fraction","15.847",""
"span","andes-money-amount__discount","20% OFF",""
"div","poly-component__shipping","Envío gratis",""
"div","","20% OFFKit Teclado Mouse Logitech Inalambrico Usb Español Calidad$54.559$43.64720% OFF",""
"div","poly-card__portada","",""
"img","poly-component__picture lazy-loadable","","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"div","poly-card__content","20% OFFKit Teclado Mouse Logitech Inalambrico Usb Español Calidad$54.559$43.64720% OFF",""
"a","poly-component__title","Kit Teclado Mouse Logitech Inalambrico Usb Español Calidad","https://www.tiendatrade.com.ar/MLA-1462913553-kit-teclado-mouse-logitech-inalambrico-usb-espanol-calidad-_JM?searchVariation=182340231082&pdp_filters=seller_id%3A155289488#polycard_client=search-nordic-mshops&searchVariation=182340231082&search_layout=stack&position=8&type=item&tracking_id=2a0e037a-1691-4192-972a-bfc4a1996265"
"div","poly-component__price","$54.559$43.64720% OFF",""
"s","andes-money-amount andes-money-amount--previous andes-money-amount--cents-comma","$54.559",""
"span","andes-money-amount__currency-symbol","$",""
"span","andes-money-amount__fraction","54.559",""
"div","poly-price__current","$43.64720% OFF",""
"span","andes-money-amount andes-money-amount--cents-superscript","$43.647",""
"span","andes-money-amount__currency-symbol","$",""
"span","andes-money-amount__fraction","43.647",""
"span","andes-money-amount__discount","20% OFF",""
"div","","",""
"div","","El envío gratis está sujeto al peso, precio y la distancia del envío.",""
"div","shops__listing-disclaimer","El envío gratis está sujeto al peso, precio y la distancia del envío.",""
"div","shops__listing-shops__listing-disclaimer-card andes-message andes-message--accent andes-message--loud","El envío gratis está sujeto al peso, precio y la distancia del envío.",""
"div","andes-badge andes-badge--pill andes-badge--accent andes-message__badge andes-message__badge--accent andes-badge--pill-icon andes-badge--small","",""
"div","andes-badge__icon","",""
"div","andes-message__content andes-message__content--untitled","El envío gratis está sujeto al peso, precio y la distancia del envío.",""
"div","andes-message__text andes-message__text--accent","El envío gratis está sujeto al peso, precio y la distancia del envío.",""
"div","","",""
"div","","",""
"div","","",""
"div","","",""
"p","standard-footer__logo-caption","",""
"p","","",""
"a","header--custom-svg","","https://www.facebook.com/tiendatrade"
"a","header--custom-svg","","https://www.instagram.com/tiendatrade"
"a","header--custom-svg","","https://www.youtube.com/channel/UCU5AWD_hE0cegdoWFlqNDhA"
"div","standard-footer-divider","",""
"a","header--custom-text","PC de Escritorio","https://www.tiendatrade.com.ar/listado/computacion/pc-escritorio/"
"a","header--custom-text","Notebooks","https://www.tiendatrade.com.ar/listado/computacion/notebooks-accesorios/"
"a","header--custom-text","Combos","https://www.tiendatrade.com.ar/listado/computacion/componentes-pc/placas/motherboards/"
"a","header--custom-text","Envío Gratis","https://www.tiendatrade.com.ar/listado/computacion/_CostoEnvio_Gratis#applied_filter_id%25252525252525252525253Dshipping_cost_highlighted_free"
"a","header--custom-text","Cuotas sin interés","https://www.tiendatrade.com.ar/listado/computacion/_Installments_GoodFinancing#applied_filter_id%252525252525252525252525252525253Dinstallments_highligh"
"div","standard-footer-divider","",""
"div","standard-footer-divider","",""
"a","header--custom-svg","","https://www.facebook.com/tiendatrade"
"a","header--custom-svg","","https://www.instagram.com/tiendatrade"
"a","header--custom-svg","","https://www.youtube.com/channel/UCU5AWD_hE0cegdoWFlqNDhA"
"a","header--custom-text","Tel:
                1171127475","tel:1171127475"
"a","header--custom-text","Tiendatrade  -",""
"a","header--custom-text","Buenos Aires,",""
"a","header--custom-text","Capital Federal.",""
"li","standard-list--spacing","Escribinos",""
"a","standard-list--contact header--custom-text","Escribinos","/p/contacto"
"span","","Escribinos",""
"li","standard-list--spacing standard-list--afip-img","",""
"a","","","http://qr.afip.gob.ar/?qr=MfbAzOyUk4HXTm9Nfu5pxw,,"
"div","standard-footer-divider","",""
"div","standard-footer-info standard-footer-info--desktop","Tiendatrade.com.ar es una tienda creada con",""
"a","standard-footer-info__brand header--custom-text","Tiendatrade.com.ar es una tienda creada con","https://www.mercadoshops.com.ar/?utm_source=mercadoshops&utm_medium=referral&utm_campaign=hunting_always_on&utm_content=footer_seller"
"span","footer-power-by","Tiendatrade.com.ar es una tienda creada con",""
"a","header--custom-text","Avisos legales","/p/avisos-legales"
"span","standard-footer-help__separator header--custom-text","|",""
"span","standard-footer-help__separator header--custom-text","|",""
"span","standard-footer-help__separator header--custom-text","|",""
"span","standard-footer-help__separator header--custom-text","|",""
"a","standard-footer-info__brand header--custom-text","Tiendatrade.com.ar es una tienda creada con","https://www.mercadoshops.com.ar/?utm_source=mercadoshops&utm_medium=referral&utm_campaign=hunting_always_on&utm_content=footer_seller"
"span","footer-power-by","Tiendatrade.com.ar es una tienda creada con",""
"link","js-favicon","",""
"link","js-favicon","",""
"a","hamburger-panel-link weight-normal","Quienes Somos","https://www.shopgamer.com.ar/quienes-somos/"
"span","m-right-quarter","Productos",""
"span","hamburger-panel-arrow p-all-quarter p-absolute transition-soft","",""
"span","m-right-quarter","Accesorios para PC",""
"span","hamburger-panel-arrow p-all-quarter p-absolute transition-soft","",""
"a","hamburger-panel-link weight-normal","Adaptadores USB","https://www.shopgamer.com.ar/accesorios-para-pc/adaptadores-usb/"
"a","hamburger-panel-link weight-normal","Alcohol Isopropílico","https://www.shopgamer.com.ar/accesorios-para-pc/alcohol-isopropilico/"
"a","hamburger-panel-link weight-normal","Fichas & Adaptadores HDMI/DVI/VGA","https://www.shopgamer.com.ar/accesorios-para-pc/fichas-converidores-hdmi-dvi-vga/"
"a","hamburger-panel-link weight-normal","Pastas Térmicas para PC y CPU","https://www.shopgamer.com.ar/accesorios-para-pc/pastas-termicas/"
"a","hamburger-panel-link weight-normal","Accesorios para RGB","https://www.shopgamer.com.ar/accesorios-para-pc/accesorios-para-rgb/"
"a","hamburger-panel-link weight-normal","Celulares","https://www.shopgamer.com.ar/celulares/"
"span","m-right-quarter","Componentes de PC",""
"span","hamburger-panel-arrow p-all-quarter p-absolute transition-soft","",""
"span","m-right-quarter","Placas de Video",""
"span","hamburger-panel-arrow p-all-quarter p-absolute transition-soft","",""
"span","m-right-quarter","Radeon",""
"span","hamburger-panel-arrow p-all-quarter p-absolute transition-soft","",""
"a","hamburger-panel-link weight-normal","Asus","https://www.shopgamer.com.ar/componentes-de-pc/placas-de-video/placas-de-video-radeon/placas-de-video-asus/"
"a","hamburger-panel-link weight-normal","Gigabyte","https://www.shopgamer.com.ar/componentes-de-pc/placas-de-video/placas-de-video-radeon/placas-de-video-gigabyte/"
"a","hamburger-panel-link weight-normal","MSI","https://www.shopgamer.com.ar/componentes-de-pc/placas-de-video/placas-de-video-radeon/placa-de-video-msi/"
"a","hamburger-panel-link weight-normal","Sapphire","https://www.shopgamer.com.ar/componentes-de-pc/placas-de-video/placas-de-video-radeon/sapphire/"
"a","hamburger-panel-link weight-normal","AsRock","https://www.shopgamer.com.ar/componentes-de-pc/placas-de-video/placas-de-video-radeon/asrock/"
"span","m-right-quarter","Nvidia",""
"span","hamburger-panel-arrow p-all-quarter p-absolute transition-soft","",""
"a","hamburger-panel-link weight-normal","RTX","https://www.shopgamer.com.ar/componentes-de-pc/placas-de-video/nvidia/rtx/"
"a","hamburger-panel-link weight-normal","GT","https://www.shopgamer.com.ar/componentes-de-pc/placas-de-video/nvidia/gt/"
"a","hamburger-panel-link weight-normal","GTX","https://www.shopgamer.com.ar/componentes-de-pc/placas-de-video/nvidia/gtx1/"
"span","m-right-quarter","Procesadores",""
"span","hamburger-panel-arrow p-all-quarter p-absolute transition-soft","",""
"span","m-right-quarter","AMD",""
"span","hamburger-panel-arrow p-all-quarter p-absolute transition-soft","",""
"a","hamburger-panel-link weight-normal","Athlon","https://www.shopgamer.com.ar/componentes-de-pc/procesadores/amd/athlon/"
"span","m-right-quarter","Socket AM4",""
"span","hamburger-panel-arrow p-all-quarter p-absolute transition-soft","",""
"a","hamburger-panel-link weight-normal","Ryzen 3","https://www.shopgamer.com.ar/componentes-de-pc/procesadores/amd/socket-am4/ryzen-3/"
"a","hamburger-panel-link weight-normal","Ryzen 5","https://www.shopgamer.com.ar/componentes-de-pc/procesadores/amd/socket-am4/ryzen-5/"
"a","hamburger-panel-link weight-normal","Ryzen 7","https://www.shopgamer.com.ar/componentes-de-pc/procesadores/amd/socket-am4/ryzen-7/"
"a","hamburger-panel-link weight-normal","Ryzen 9","https://www.shopgamer.com.ar/componentes-de-pc/procesadores/amd/socket-am4/ryzen-9/"
"span","m-right-quarter","Socket Am5",""
"span","hamburger-panel-arrow p-all-quarter p-absolute transition-soft","",""
"a","hamburger-panel-link weight-normal","Ryzen Serie 7000","https://www.shopgamer.com.ar/componentes-de-pc/procesadores/amd/socket-am5/ryzen-7000/"
"a","hamburger-panel-link weight-normal","Ryzen Serie 8000","https://www.shopgamer.com.ar/componentes-de-pc/procesadores/amd/socket-am5/ryzen-serie-8000/"
"a","hamburger-panel-link weight-normal","Ryzen Serie 9000","https://www.shopgamer.com.ar/componentes-de-pc/procesadores/amd/socket-am5/ryzen-serie-9000/"
"span","m-right-quarter","Intel Core",""
"span","hamburger-panel-arrow p-all-quarter p-absolute transition-soft","",""
"a","hamburger-panel-link weight-normal","Socket LGA1200","https://www.shopgamer.com.ar/componentes-de-pc/procesadores/intel/socket-lga1200/"
"a","hamburger-panel-link weight-normal","Socket LGA1700","https://www.shopgamer.com.ar/componentes-de-pc/procesadores/intel/socket-lga1700/"
"a","hamburger-panel-link weight-normal","Socket LGA1851","https://www.shopgamer.com.ar/componentes-de-pc/procesadores/intel/socket-lga1851/"
"a","hamburger-panel-link weight-normal","Pentium Gold","https://www.shopgamer.com.ar/componentes-de-pc/procesadores/intel/pentium-gold/"
"a","hamburger-panel-link weight-normal","Intel Celeron","https://www.shopgamer.com.ar/componentes-de-pc/procesadores/intel/procesadores-intel-celeron/"
"a","hamburger-panel-link weight-normal","Xeon","https://www.shopgamer.com.ar/componentes-de-pc/procesadores/xeon/"
"span","m-right-quarter","Motherboard",""
"span","hamburger-panel-arrow p-all-quarter p-absolute transition-soft","",""
"span","m-right-quarter","AMD",""
"span","hamburger-panel-arrow p-all-quarter p-absolute transition-soft","",""
"a","hamburger-panel-link weight-normal","Socket AM4","https://www.shopgamer.com.ar/componentes-de-pc/motherboard/motherboard-para-amd/motherboards-socket-am4/"
"a","hamburger-panel-link weight-normal","Socket AM5","https://www.shopgamer.com.ar/componentes-de-pc/motherboard/motherboard-para-amd/motherboards-socket-am5/"
"span","m-right-quarter","INTEL",""
"span","hamburger-panel-arrow p-all-quarter p-absolute transition-soft","",""
"a","hamburger-panel-link weight-normal","Socket 1200","https://www.shopgamer.com.ar/componentes-de-pc/motherboard/para-intel/socket-1200/"
"a","hamburger-panel-link weight-normal","Socket 1700","https://www.shopgamer.com.ar/componentes-de-pc/motherboard/para-intel/socket-1700/"
"a","hamburger-panel-link weight-normal","Socket 1851","https://www.shopgamer.com.ar/componentes-de-pc/motherboard/para-intel/socket-1851/"
"span","m-right-quarter","Almacenamiento",""
"span","hamburger-panel-arrow p-all-quarter p-absolute transition-soft","",""
"span","m-right-quarter","Discos Externos HDD y SSD",""
"span","hamburger-panel-arrow p-all-quarter p-absolute transition-soft","",""
"a","hamburger-panel-link weight-normal","Discos Externos HDD","https://www.shopgamer.com.ar/componentes-de-pc/unidades-almacenamiento/externos/discos-externos-hdd/"
"a","hamburger-panel-link weight-normal","Discos Externos SSD","https://www.shopgamer.com.ar/componentes-de-pc/unidades-almacenamiento/externos/discos-externos-ssd/"
"span","m-right-quarter","Discos Internos HDD y SSD",""
"span","hamburger-panel-arrow p-all-quarter p-absolute transition-soft","",""
"span","m-right-quarter","Discos Internos HDD",""
"span","hamburger-panel-arrow p-all-quarter p-absolute transition-soft","",""
